theta,alpha,alpha0,rho1,rho2,gamma,user
4.629406467092881,-105.27226530211009,91.56858713496827,-12.32563944052922,6.003009543538885,-4.789889699680065,user_1
6.239184506697606,-117.82275561530969,98.58734162302446,-12.279532803294272,6.000810618817217,-7.198586797947367,user_1
5.465893656532485,-127.06612196863236,102.60041350209843,-12.354669397576725,6.00504434463058,-7.911924311150817,user_1
5.85713848762415,-122.68491074487467,101.12755354271106,-12.34182921166505,6.0030853637442805,-7.212224688157521,user_1
5.557762431264204,-112.03855397359024,96.40983561965012,-12.397172549477716,6.00702899495306,-6.028426753161625,user_1
5.99654792156134,-113.23987440203663,90.55743879055125,-12.312077332658085,5.994338721014159,-6.863991075452403,user_1
6.211830932445351,-136.03855398482344,116.21899358711313,-12.389972869405202,6.015250177111609,-7.1610562604029635,user_1
6.055291874491751,-117.56253195446827,97.55013020626012,-12.314001704846913,6.000926482417793,-6.869606277221689,user_1
6.230325523746523,-122.50319443466798,103.2644946585298,-12.327989839950325,5.995952510260786,-7.689798881116047,user_1
5.34338625939546,-109.84910619903593,96.57354247794785,-12.313668956312732,6.011188530258735,-5.80562453095406,user_1
5.270928548645109,-140.49872473186983,122.0050636846862,-12.310640202547697,6.013547927224503,-7.117295929505392,user_1
5.819370070257551,-122.30706477552131,98.23804164214286,-12.326935093493757,6.003458781105085,-7.436799091079291,user_1
5.246938273226868,-148.48610029115477,120.70901597725596,-12.367429514174887,6.014882504840569,-7.986270234317288,user_1
6.387786808905507,-118.77456223542623,100.01114826698442,-12.26824007074794,6.001452229665415,-7.295305171251712,user_1
5.820035807230424,-124.34647602603143,101.4500449003428,-12.259666005959037,6.002808058149906,-7.135614210690198,user_1
6.080351978723507,-133.2541756820084,105.30978245657246,-12.412635923748326,6.004656017804443,-7.6322595625027,user_1
6.1534111480147295,-129.47194950636674,104.66674813032526,-12.319819659534181,6.004233466140788,-7.77099341889764,user_1
6.267539828203494,-119.427358708659,98.81818037620198,-12.331787575792102,5.997547075918002,-7.404181409213501,user_1
6.088408296867864,-116.80116053841832,97.52840081618682,-12.342462813110297,6.000458550342422,-7.076015834006599,user_1
5.724116314929623,-119.42408602681374,100.20455395051552,-12.329244888963352,5.999113670011676,-6.9471700986559854,user_1
